단어,원형성,친숙성,쾌-불쾌,활성화
가뜬하다,3.37,3.26,4.51,3.8
가련하다,3.92,3.87,3.11,3.17
가소롭다,3.88,4.67,2.48,3.91
가엾다,4.54,5.11,3,3.33
가증스럽다,4.1,4.47,1.88,5.08
가책,3.45,4.13,2.55,4.21
갈등하다*,4.19,5.25,2.59,4.82
감개,3.78,3.45,4.96,4.24
감개무량하다,4.29,3.9,4.97,4.83
감격하다,5.07,5.46,5.43,5.19
감동하다*,5.24,5.5,5.45,4.47
감명,4.06,4.24,5.28,4.01
감미롭다,4.93,4.88,5.54,3.93
감복하다,3.46,3.12,4.63,4.59
감탄하다*,4.79,5.18,5.11,5.03
감홍,3.48,3.25,4.59,4.21
감회,3.95,4.05,4.67,3.98
개탄하다,3.35,3.08,2.33,5.18
거부감*,4.26,4.82,1.98,4.54
거북하다,3.92,4.66,2.58,4.14
걱정하다,4.88,6.02,2.94,3.94
겁나다,4.77,5.43,2.61,5.56
격노하다,3.8,3.7,1.98,5.89
격동되다,4.05,3.82,4.11,5.92
격분하다,4.04,4.36,2.11,5.82
격앙하다,3.16,2.49,2.33,5.58
격정,3.83,3.72,3.57,5.6
격하다,3.94,3.87,2.7,5.41
겸연쩍다,3.93,3.86,3.04,3.46
경멸하다*,4.13,4.61,1.74,5.59
경악하다,3.98,4.13,2.15,6.03
경애하다,3.88,3.49,4.9,4.06
경외하다,3.91,3.94,4.34,3.83
경쾌하다,5.08,5.35,5.85,5.28
꺼림직하다,4.29,4.5,2.45,3.76
께름직하다,3.82,3.93,2.39,3.6
끔찍하다,4.24,5.2,2.13,5.45
낙,4.05,4.03,5.39,4.08
낙담하다,3.83,4.29,2.01,3.23
낙망하다,3.27,3.46,1.93,3.05
낙심하다,3.76,4.01,2.17,3.2
남부끄럽다,3.84,4.21,2.66,4.39
남부럽다,3.26,3.93,3.37,3.89
낭패스럽다,3.14,3.66,2.51,4.62
낯간지럽다,4.03,4.29,3.36,4.55
낯뜨겁다*,4.45,4.74,2.88,5.31
노기,2.98,2.82,2.46,4.8
노발대발,3.85,3.94,2.1,6.37
노심초사하다,3.92,4.21,2.39,4.99
노엽다,3.4,3.38,2.48,5.32
노파심,3.39,4.18,3.05,4.4
경탄하다,3.76,3.16,3.99,5.35
고깝다,3.08,3.02,2.42,4.18
고뇌하다,3.54,4.08,2.71,3.72
고독하다,4.57,5.18,2.38,2.47
고립감,3.52,4.13,2.08,3.28
고맙다*,5.39,6.13,5.5,3.77
고무되다,3.92,3.61,4.73,4.16
고민하다,4.15,5.55,2.75,3.29
고적하다,2.91,2.6,3.24,2.54
곤혹스럽다,4.13,4.43,2.26,5.28
골나다,3.5,3.92,2.25,5.25
공감하다*,5.01,5.09,5.07,3.74
공포,4.31,5.29,2.32,6.02
공허하다,4.03,3.94,2.73,2.55
괘씸하다*,4.38,4.9,2.11,5.1
괴롭다*,4.76,5.42,1.93,3.85
교감하다,4.37,4.22,5.43,4.41
구슬프다,3.89,3.61,2.8,3.74
굴욕,3.71,4.1,1.77,5.28
권태롭다,3.89,3.99,2.67,2.81
귀찮다*,4.68,5.65,2.58,3.63
그립다*,5.68,5.82,4.37,3.18
근심걱정*,3.89,4.96,2.36,4.37
근심하다,3.97,4.69,2.36,3.98
긍지,4.13,4.55,5.74,3.85
기겁하다,4.1,4.39,2.74,5.67
기고만장하다,3.73,4.18,3.5,5.52
기껍다,2.84,2.46,3.37,3.79
기막히다,4.52,5.19,2.67,4.72
기쁘다*,5.98,6.26,5.94,5.56
기절초풍하다,3.87,4.47,2.64,5.76
기죽다,4.03,4.97,2.51,2.94
긴장하다,4.45,5.42,3.24,4.99
꺼리다,3.86,4.36,2.58,4.04
떠름하다,2.73,2.75,2.59,3.61
떨떠름하다,3.67,3.83,2.67,3.02
떫다,3.5,3.96,2.48,4.12
떳떳하다,5.15,5.6,5.4,4.15
뜨끔하다,4.24,4.74,2.92,4.76
뜨악하다,3.01,2.41,2.59,5.46
마땅찮다,3.57,4.25,2.46,4.07
막막하다,4.17,4.92,2.44,3.52
만족하다*,5.34,5.92,5.64,3.98
맘놓다,4.04,4.7,4.98,2.28
망설이다*,4.46,5.59,2.97,3.81
망연자실하다,3.63,3.64,2.16,3.83
망연하다,3.21,2.69,2.67,3.32
매료되다,4.68,4.4,5.25,4.69
매혹,3.85,4.34,4.84,4.59
맥빠지다,4.02,4.65,2.5,2.17
머쓱하다,3.92,3.61,3.17,3.29
노하다,3.91,3.86,2.16,5.76
놀라다*,4.85,5.56,4.12,5.67
놀랍다,4.77,5.58,4.35,5.61
눈물겹다,4.43,5.24,3.18,4.02
뉘우치다,4.59,5.34,3.7,3.57
달가워하다,4.4,4.18,4.63,3.99
담담하다,4.32,4.81,3.53,2.7
답답하다*,4.73,5.54,2.2,3.64
당혹하다,4.17,4.53,2.94,4.9
당황하다,4.46,5.55,3.07,4.83
덤덤하다*,4.43,4.71,3.76,2.59
도취하다,4.24,4.37,5.1,4.94
동감하다,4.97,5.04,5.33,4.19
동경하다,4.31,4.4,4.81,3.73
동병상련,3.85,4.46,3.85,3.74
동요하다,3.92,4.46,3.42,4.42
동정하다,4.65,5.35,3.45,3.22
두렵다,4.75,5.4,2.43,5.32
들뜨다,5.03,5.16,4.98,5.24
따분하다,4.53,5.34,2.77,2.59
딱하다,3.94,4.29,2.99,3.98
